timestamp,player,ai,result,agent
2025-05-27T19:46:39.643178,p,s,lose,Agent11
2025-05-27T19:46:41.567138,s,s,draw,Agent11
2025-05-27T19:46:42.044734,p,r,win,Agent11
2025-05-27T19:46:42.652495,r,s,win,Agent11
2025-05-27T19:46:43.303695,p,p,draw,Agent11
2025-05-27T19:46:44.182472,r,r,draw,Agent7
2025-05-27T19:46:44.373525,r,s,win,Agent7
2025-05-27T19:46:44.550039,r,p,lose,Agent11
2025-05-27T19:46:44.710099,r,p,lose,Agent11
2025-05-27T19:46:44.875098,r,p,lose,Agent11
2025-05-27T19:46:45.058173,r,p,lose,Agent11
2025-05-27T19:46:45.198705,r,p,lose,Agent11
2025-05-27T19:46:45.366779,r,p,lose,Agent11
2025-05-27T19:46:45.515333,r,p,lose,Agent11
2025-05-27T19:46:45.667409,r,p,lose,Agent11
2025-05-27T19:46:46.009002,r,p,lose,Agent27
2025-05-27T19:46:46.546222,r,p,lose,Agent27
